,places_name,road_address_name,lat,lng,distance,category_group_name
211,GS25 신사코원점,서울 강남구 강남대로162길 41-19,127.02085418635984,37.52198155476901,18,편의점
212,CU 신사한남점,서울 강남구 압구정로 110,127.02103431135863,37.5229068525775,120,편의점
213,세븐일레븐 신사5호점,서울 강남구 강남대로162길 45,127.022049641751,37.5211235829628,125,편의점
214,CU 신사드림점,서울 강남구 압구정로4길 10,127.019972962757,37.52199251911,87,편의점
215,GS25 신사강남점,서울 강남구 압구정로2길 9,127.019597161287,37.5210987872679,143,편의점
216,이마트24 R신사스퀘어점,서울 강남구 강남대로 652,127.01907641380026,37.5195716724337,299,편의점
217,GS25 신사초롱점,서울 강남구 논현로153길 46,127.024461184754,37.5204888020806,232,편의점
218,CU 신사프리미어점,서울 강남구 논현로157길 41,127.024859699025,37.5214834260698,227,편의점
219,CU 신사초원점,서울 강남구 압구정로14길 7,127.023312900622,37.5237686842228,247,편의점
220,GS25 문래현대점,서울 영등포구 문래로 77,126.89064509600718,37.51982802909368,201,편의점
221,GS25 문래동국점,서울 영등포구 선유로 76,126.889933293128,37.5207896386779,125,편의점
222,CU 문래벤처점,서울 영등포구 선유로 70,126.889957044665,37.5200220066182,196,편의점
223,GS25 문래한신점,서울 영등포구 영등포로12길 11,126.887674267857,37.5215443539362,283,편의점
224,GS25 강서타워점,서울 영등포구 선유로 75,126.889268355981,37.5206448567482,179,편의점
225,GS25 당산하나점,서울 영등포구 영등포로 103,126.893243754818,37.5219964165714,212,편의점
226,GS25 당산양남점,서울 영등포구 선유동1로 12-1,126.891857391431,37.5232024983438,194,편의점
227,GS25 당산미래점,서울 영등포구 영등포로 106,126.89287441969071,37.52159333409391,176,편의점
228,CU 당산양남점,서울 영등포구 선유동1로 6,126.89169982991048,37.52264012859733,133,편의점
229,CU 문래아카데미점,서울 영등포구 문래로 89,126.892057173173,37.5195878593234,249,편의점
230,CU 양남교보점,서울 영등포구 영등포로18길 10-2,126.891629630587,37.5211191722234,87,편의점
231,편의점,서울 영등포구 선유로 106-1,126.890481487558,37.5234138670145,200,편의점
232,GS25 영등포충무점,서울 영등포구 영신로32길 20,126.903392556935,37.5189309327702,294,편의점
233,GS25 영등포샛강점,서울 영등포구 버드나루로 9,126.912269141163,37.5197235341668,249,편의점
234,이마트24 영등포메인점,서울 영등포구 영등포로46길 3,126.907985104879,37.5189706399858,296,편의점
235,CU 영등포리더스점,서울 영등포구 영등포로 264-4,126.910483312316,37.5185040382421,290,편의점
236,CU 영등포중앙점,서울 영등포구 영등포로 255,126.909916988778,37.5191162896837,219,편의점
237,세븐일레븐 영등포6호점,서울 영등포구 영등포로 252,126.90926119926225,37.518870714901546,255,편의점
238,세븐일레븐 영등포시장점,서울 영등포구 영등포로 236-1,126.907618295663,37.5192190304548,297,편의점
239,GS25 문래미원점,서울 영등포구 문래로 38,126.886182996639,37.5202671067823,176,편의점
240,이마트24 문래에이스점,서울 영등포구 선유로13길 25,126.88623790163822,37.51912198530939,268,편의점
241,세븐일레븐 문래아르디세점,서울 영등포구 선유로17길 24,126.887200143293,37.5208879723102,242,편의점
242,세븐일레븐 문래파라곤점,서울 영등포구 선유로11길 12,126.887737497358,37.5186035415498,282,편의점
243,GS25 영등포사랑점,서울 영등포구 영중로10길 40,126.90970858513958,37.518398031188426,273,편의점
244,CU 여의더리브점,서울 영등포구 경인로 900,126.91266959324,37.5177740604753,290,편의점
245,로그인편의점 영등포중앙점,서울 영등포구 영중로4길 31-2,126.909773455766,37.5180710166554,295,편의점
246,GS25 신길역점,서울 영등포구 경인로114가길 4,126.91401303351068,37.51810751629567,290,편의점
247,CU 문래페르마타점,서울 영등포구 선유서로 15,126.88397416624603,37.51708261574485,289,편의점
248,세븐일레븐 롯데뉴스테이문래점,서울 영등포구 선유로9길 30,126.88477580850764,37.51804296865163,238,편의점
249,CU 신사성환점,서울 강남구 강남대로152길 14,127.020627724677,37.5170873455715,282,편의점
250,GS25 신사센터점,서울 강남구 압구정로2길 58,127.021293143244,37.5181432034904,153,편의점
251,GS25 신사제일점,서울 강남구 강남대로152길 40,127.022501179647,37.5179663828746,184,편의점
252,미니스톱 신사만남점,서울 강남구 강남대로152길 26,127.021591609061,37.5175773191852,212,편의점
253,GS25 신사현대점,서울 강남구 강남대로152길 5,127.020012401949,37.5171811557932,295,편의점
254,세븐일레븐 신사본점,서울 강남구 도산대로 124,127.02224296543994,37.51692847582053,288,편의점
255,세븐일레븐 신사4호점,서울 강남구 도산대로15길 7,127.023818094242,37.5187085513743,208,편의점
256,미니스톱 강남신사점,서울 강남구 도산대로1길 20,127.019980958303,37.5180389163711,220,편의점
257,CU 신사가로수길점,서울 강남구 도산대로 139,127.02370482705128,37.51823644844187,226,편의점
258,GS25 강남청담점,서울 강남구 학동로 441,127.049079686316,37.5188845604202,242,편의점
259,CU 청담청아점,서울 강남구 학동로 431,127.048097733522,37.5187480118924,164,편의점
260,이마트24 R강남세무서점,서울 강남구 학동로67길 14,127.046835637678,37.5192278527727,40,편의점
